StudentID,CourseID,CourseName,,,Rating
50000,168,30 Hour Construction Industry,,,89
50000,66,Hazardous Waste Operations and Emergency Response,,,71
50000,84,OSHA Stairways and Ladders Course,,,74
50001,166,10 Hour General Industry,,,74
50001,168,30 Hour Construction Industry,,,91.5
50001,88,OSHA Bloodborne Pathogens Course,,,73
50003,5,Occupational Safety and Health Standards for the Construction Industry,,,85.5
50004,166,10 Hour General Industry,,,77
50005,165,10 Hour Construction Industry,,,96
50007,165,10 Hour Construction Industry,,,72
50007,168,30 Hour Construction Industry,,,73
50012,167,30 Hour  General Industry,,,99
50012,168,30 Hour Construction Industry,,,94
50012,65,Hazardous Waste Operations and Emergency Response,,,84
50012,82,OSHA Personal Protective Equipment,,,98
50013,165,10 Hour Construction Industry,,,93
50014,165,10 Hour Construction Industry,,,87.66666667
50014,166,10 Hour General Industry,,,77
50014,168,30 Hour Construction Industry,,,82
50015,165,10 Hour Construction Industry,,,92
50016,66,Hazardous Waste Operations and Emergency Response,,,78
50016,77,"OSHA Cranes, Derricks, Hoists, Elevators, and Conveyors for Construction",,,80
50017,165,10 Hour Construction Industry,,,100
50017,168,30 Hour Construction Industry,,,87
50017,74,OSHA Welding and Cutting for Construction,,,89
50020,165,10 Hour Construction Industry,,,83
50020,166,10 Hour General Industry,,,80.5
50021,168,30 Hour Construction Industry,,,81
50021,5,Occupational Safety and Health Standards for the Construction Industry,,,71
50022,88,OSHA Bloodborne Pathogens Course,,,82
50023,165,10 Hour Construction Industry,,,82
50023,88,OSHA Bloodborne Pathogens Course,,,83
50024,165,10 Hour Construction Industry,,,86
50024,167,30 Hour  General Industry,,,82
50029,168,30 Hour Construction Industry,,,79
50029,83,OSHA Fall Protection Course,,,76
50030,166,10 Hour General Industry,,,99
50031,165,10 Hour Construction Industry,,,87
50031,168,30 Hour Construction Industry,,,95
50033,79,OSHA Excavations for Construction,,,88
50034,166,10 Hour General Industry,,,71
50034,73,OSHA Health Hazards in Construction,,,77
50035,168,30 Hour Construction Industry,,,83
50036,167,30 Hour  General Industry,,,91
50037,168,30 Hour Construction Industry,,,88
50037,6,Occupational Safety and Health Standards for General Industry,,,74
50037,83,OSHA Fall Protection Course,,,74
50038,166,10 Hour General Industry,,,87
50042,168,30 Hour Construction Industry,,,88
50043,165,10 Hour Construction Industry,,,87
50044,165,10 Hour Construction Industry,,,78
50046,66,Hazardous Waste Operations and Emergency Response,,,91
50047,165,10 Hour Construction Industry,,,74
50047,166,10 Hour General Industry,,,87
50048,168,30 Hour Construction Industry,,,82
50049,5,Occupational Safety and Health Standards for the Construction Industry,,,78
50052,166,10 Hour General Industry,,,71
50052,168,30 Hour Construction Industry,,,76
50053,168,30 Hour Construction Industry,,,100
50055,165,10 Hour Construction Industry,,,72
50055,86,Introduction to OSHA for General Industry,,,94
50056,166,10 Hour General Industry,,,97
50057,66,Hazardous Waste Operations and Emergency Response,,,90.5
50058,165,10 Hour Construction Industry,,,84
50059,165,10 Hour Construction Industry,,,100
50059,166,10 Hour General Industry,,,84
50060,165,10 Hour Construction Industry,,,73
50063,165,10 Hour Construction Industry,,,92.5
50065,165,10 Hour Construction Industry,,,96
50065,168,30 Hour Construction Industry,,,90
50066,76,OSHA Rigging and Material Handling,,,82
50067,165,10 Hour Construction Industry,,,83.33333333
50067,168,30 Hour Construction Industry,,,95
50070,165,10 Hour Construction Industry,,,77
50070,74,OSHA Welding and Cutting for Construction,,,87
50071,167,30 Hour  General Industry,,,84
50071,168,30 Hour Construction Industry,,,71
50073,168,30 Hour Construction Industry,,,88
50074,166,10 Hour General Industry,,,72
50077,165,10 Hour Construction Industry,,,75
50077,5,Occupational Safety and Health Standards for the Construction Industry,,,91
50077,83,OSHA Fall Protection Course,,,93
50080,166,10 Hour General Industry,,,90.5
50081,5,Occupational Safety and Health Standards for the Construction Industry,,,73
50081,6,Occupational Safety and Health Standards for General Industry,,,100
50082,166,10 Hour General Industry,,,93
50082,68,Introduction to OSHA,,,73
50084,165,10 Hour Construction Industry,,,94
50084,166,10 Hour General Industry,,,83
50084,168,30 Hour Construction Industry,,,92
50085,166,10 Hour General Industry,,,79
50086,168,30 Hour Construction Industry,,,99
50086,66,Hazardous Waste Operations and Emergency Response,,,83
50087,165,10 Hour Construction Industry,,,85
50087,168,30 Hour Construction Industry,,,86
50087,88,OSHA Bloodborne Pathogens Course,,,77
50088,168,30 Hour Construction Industry,,,96
50089,66,Hazardous Waste Operations and Emergency Response,,,87
50090,165,10 Hour Construction Industry,,,76
50091,165,10 Hour Construction Industry,,,79
50092,165,10 Hour Construction Industry,,,84.5
50093,165,10 Hour Construction Industry,,,97.5
50094,76,OSHA Rigging and Material Handling,,,73
50096,168,30 Hour Construction Industry,,,86
50097,5,Occupational Safety and Health Standards for the Construction Industry,,,79
50098,167,30 Hour  General Industry,,,88
50099,166,10 Hour General Industry,,,85
50100,5,Occupational Safety and Health Standards for the Construction Industry,,,81
50102,167,30 Hour  General Industry,,,91
50103,83,OSHA Fall Protection Course,,,81
50104,165,10 Hour Construction Industry,,,97
50104,166,10 Hour General Industry,,,87
50105,165,10 Hour Construction Industry,,,85
50106,93,OSHA Lockout and Tagout for General Industry,,,93
50108,165,10 Hour Construction Industry,,,83
50108,93,OSHA Lockout and Tagout for General Industry,,,90
50110,165,10 Hour Construction Industry,,,78
50112,166,10 Hour General Industry,,,74
50113,165,10 Hour Construction Industry,,,77
50114,5,Occupational Safety and Health Standards for the Construction Industry,,,97
50115,66,Hazardous Waste Operations and Emergency Response,,,97
50117,166,10 Hour General Industry,,,89
50117,5,Occupational Safety and Health Standards for the Construction Industry,,,83
50119,165,10 Hour Construction Industry,,,94
50119,76,OSHA Rigging and Material Handling,,,75
50121,79,OSHA Excavations for Construction,,,85
50122,5,Occupational Safety and Health Standards for the Construction Industry,,,91
50123,88,OSHA Bloodborne Pathogens Course,,,79
50124,166,10 Hour General Industry,,,73
50125,167,30 Hour  General Industry,,,79
50126,168,30 Hour Construction Industry,,,73
50127,165,10 Hour Construction Industry,,,98
50128,168,30 Hour Construction Industry,,,73
50129,167,30 Hour  General Industry,,,99
50129,83,OSHA Fall Protection Course,,,92
50130,166,10 Hour General Industry,,,98
50132,165,10 Hour Construction Industry,,,91
50133,167,30 Hour  General Industry,,,73
50133,168,30 Hour Construction Industry,,,80
50133,65,Hazardous Waste Operations and Emergency Response,,,89
50134,166,10 Hour General Industry,,,90
50134,83,OSHA Fall Protection Course,,,99
50134,84,OSHA Stairways and Ladders Course,,,94
50134,92,OSHA Machine Guarding for General Industry,,,78
50135,165,10 Hour Construction Industry,,,84.5
50135,166,10 Hour General Industry,,,97
50135,6,Occupational Safety and Health Standards for General Industry,,,94
50136,165,10 Hour Construction Industry,,,92
50136,166,10 Hour General Industry,,,83
50136,167,30 Hour  General Industry,,,89
50137,165,10 Hour Construction Industry,,,91
50138,165,10 Hour Construction Industry,,,83
50138,81,OSHA Scaffolds Course,,,84
50141,168,30 Hour Construction Industry,,,72
50143,165,10 Hour Construction Industry,,,83
50145,165,10 Hour Construction Industry,,,91.5
50145,166,10 Hour General Industry,,,99
50145,76,OSHA Rigging and Material Handling,,,74
50146,81,OSHA Scaffolds Course,,,96
50147,165,10 Hour Construction Industry,,,90
50147,166,10 Hour General Industry,,,88
50147,81,OSHA Scaffolds Course,,,75
50149,81,OSHA Scaffolds Course,,,71
50150,167,30 Hour  General Industry,,,82
50150,83,OSHA Fall Protection Course,,,76
50151,165,10 Hour Construction Industry,,,97
50152,83,OSHA Fall Protection Course,,,91
50156,168,30 Hour Construction Industry,,,73
50157,5,Occupational Safety and Health Standards for the Construction Industry,,,75
50160,168,30 Hour Construction Industry,,,100
50161,168,30 Hour Construction Industry,,,89
50161,66,Hazardous Waste Operations and Emergency Response,,,95
50163,94,OSHA Walking and Working Surfaces for General Industry,,,96
50164,167,30 Hour  General Industry,,,90
50165,165,10 Hour Construction Industry,,,76
50167,165,10 Hour Construction Industry,,,76
50169,168,30 Hour Construction Industry,,,83
50170,165,10 Hour Construction Industry,,,75
50170,166,10 Hour General Industry,,,89
50170,168,30 Hour Construction Industry,,,79
50171,165,10 Hour Construction Industry,,,78
50171,168,30 Hour Construction Industry,,,75
50172,165,10 Hour Construction Industry,,,76
50172,166,10 Hour General Industry,,,92
50174,165,10 Hour Construction Industry,,,79.5
50175,166,10 Hour General Industry,,,78
50177,165,10 Hour Construction Industry,,,84
50177,66,Hazardous Waste Operations and Emergency Response,,,73
50179,165,10 Hour Construction Industry,,,80
50180,165,10 Hour Construction Industry,,,79.66666667
50181,166,10 Hour General Industry,,,94
50181,168,30 Hour Construction Industry,,,81
50184,83,OSHA Fall Protection Course,,,77
50185,166,10 Hour General Industry,,,76
50187,166,10 Hour General Industry,,,88
50188,167,30 Hour  General Industry,,,73
50189,165,10 Hour Construction Industry,,,93
