StudentID,CourseID,CourseName,Rating
50000,168,30 Hour Construction Industry,88
50000,66,Hazardous Waste Operations and Emergency Response,70
50000,84,OSHA Stairways and Ladders Course,73
50001,166,10 Hour General Industry,73
50001,168,30 Hour Construction Industry,90.5
50001,88,OSHA Bloodborne Pathogens Course,72
50003,5,Occupational Safety and Health Standards for the Construction Industry,84.5
50004,166,10 Hour General Industry,76
50005,165,10 Hour Construction Industry,95
50007,165,10 Hour Construction Industry,71
50007,168,30 Hour Construction Industry,72
50012,167,30 Hour  General Industry,98
50012,168,30 Hour Construction Industry,93
50012,65,Hazardous Waste Operations and Emergency Response,83
50012,82,OSHA Personal Protective Equipment,97
50013,165,10 Hour Construction Industry,92
50014,165,10 Hour Construction Industry,86.66666667
50014,166,10 Hour General Industry,76
50014,168,30 Hour Construction Industry,81
50015,165,10 Hour Construction Industry,91
50016,66,Hazardous Waste Operations and Emergency Response,77
50016,77,"OSHA Cranes, Derricks, Hoists, Elevators, and Conveyors for Construction",79
50017,165,10 Hour Construction Industry,99
50017,168,30 Hour Construction Industry,86
50017,74,OSHA Welding and Cutting for Construction,88
50020,165,10 Hour Construction Industry,82
50020,166,10 Hour General Industry,79.5
50021,168,30 Hour Construction Industry,80
50021,5,Occupational Safety and Health Standards for the Construction Industry,70
50022,88,OSHA Bloodborne Pathogens Course,81
50023,165,10 Hour Construction Industry,81
50023,88,OSHA Bloodborne Pathogens Course,82
50024,165,10 Hour Construction Industry,85
50024,167,30 Hour  General Industry,81
50029,168,30 Hour Construction Industry,78
50029,83,OSHA Fall Protection Course,75
50030,166,10 Hour General Industry,98
50031,165,10 Hour Construction Industry,86
50031,168,30 Hour Construction Industry,94
50033,79,OSHA Excavations for Construction,87
50034,166,10 Hour General Industry,70
50034,73,OSHA Health Hazards in Construction,76
50035,168,30 Hour Construction Industry,82
50036,167,30 Hour  General Industry,90
50037,168,30 Hour Construction Industry,87
50037,6,Occupational Safety and Health Standards for General Industry,73
50037,83,OSHA Fall Protection Course,73
50038,166,10 Hour General Industry,86
50042,168,30 Hour Construction Industry,87
50043,165,10 Hour Construction Industry,86
50044,165,10 Hour Construction Industry,77
50046,66,Hazardous Waste Operations and Emergency Response,90
50047,165,10 Hour Construction Industry,73
50047,166,10 Hour General Industry,86
50048,168,30 Hour Construction Industry,81
50049,5,Occupational Safety and Health Standards for the Construction Industry,77
50052,166,10 Hour General Industry,70
50052,168,30 Hour Construction Industry,75
50053,168,30 Hour Construction Industry,99
50055,165,10 Hour Construction Industry,71
50055,86,Introduction to OSHA for General Industry,93
50056,166,10 Hour General Industry,96
50057,66,Hazardous Waste Operations and Emergency Response,89.5
50058,165,10 Hour Construction Industry,83
50059,165,10 Hour Construction Industry,99
50059,166,10 Hour General Industry,83
50060,165,10 Hour Construction Industry,72
50063,165,10 Hour Construction Industry,91.5
50065,165,10 Hour Construction Industry,95
50065,168,30 Hour Construction Industry,89
50066,76,OSHA Rigging and Material Handling,81
50067,165,10 Hour Construction Industry,82.33333333
50067,168,30 Hour Construction Industry,94
50070,165,10 Hour Construction Industry,76
50070,74,OSHA Welding and Cutting for Construction,86
50071,167,30 Hour  General Industry,83
50071,168,30 Hour Construction Industry,70
50073,168,30 Hour Construction Industry,87
50074,166,10 Hour General Industry,71
50077,165,10 Hour Construction Industry,74
50077,5,Occupational Safety and Health Standards for the Construction Industry,90
50077,83,OSHA Fall Protection Course,92
50080,166,10 Hour General Industry,89.5
50081,5,Occupational Safety and Health Standards for the Construction Industry,72
50081,6,Occupational Safety and Health Standards for General Industry,99
50082,166,10 Hour General Industry,92
50082,68,Introduction to OSHA,72
50084,165,10 Hour Construction Industry,93
50084,166,10 Hour General Industry,82
50084,168,30 Hour Construction Industry,91
50085,166,10 Hour General Industry,78
50086,168,30 Hour Construction Industry,98
50086,66,Hazardous Waste Operations and Emergency Response,82
50087,165,10 Hour Construction Industry,84
50087,168,30 Hour Construction Industry,85
50087,88,OSHA Bloodborne Pathogens Course,76
50088,168,30 Hour Construction Industry,95
50089,66,Hazardous Waste Operations and Emergency Response,86
50090,165,10 Hour Construction Industry,75
50091,165,10 Hour Construction Industry,78
50092,165,10 Hour Construction Industry,83.5
50093,165,10 Hour Construction Industry,96.5
50094,76,OSHA Rigging and Material Handling,72
50096,168,30 Hour Construction Industry,85
50097,5,Occupational Safety and Health Standards for the Construction Industry,78
50098,167,30 Hour  General Industry,87
50099,166,10 Hour General Industry,84
50100,5,Occupational Safety and Health Standards for the Construction Industry,80
50102,167,30 Hour  General Industry,90
50103,83,OSHA Fall Protection Course,80
50104,165,10 Hour Construction Industry,96
50104,166,10 Hour General Industry,86
50105,165,10 Hour Construction Industry,84
50106,93,OSHA Lockout and Tagout for General Industry,92
50108,165,10 Hour Construction Industry,82
50108,93,OSHA Lockout and Tagout for General Industry,89
50110,165,10 Hour Construction Industry,77
50112,166,10 Hour General Industry,73
50113,165,10 Hour Construction Industry,76
50114,5,Occupational Safety and Health Standards for the Construction Industry,96
50115,66,Hazardous Waste Operations and Emergency Response,96
50117,166,10 Hour General Industry,88
50117,5,Occupational Safety and Health Standards for the Construction Industry,82
50119,165,10 Hour Construction Industry,93
50119,76,OSHA Rigging and Material Handling,74
50121,79,OSHA Excavations for Construction,84
50122,5,Occupational Safety and Health Standards for the Construction Industry,90
50123,88,OSHA Bloodborne Pathogens Course,78
50124,166,10 Hour General Industry,72
50125,167,30 Hour  General Industry,78
50126,168,30 Hour Construction Industry,72
50127,165,10 Hour Construction Industry,97
50128,168,30 Hour Construction Industry,72
50129,167,30 Hour  General Industry,98
50129,83,OSHA Fall Protection Course,91
50130,166,10 Hour General Industry,97
50132,165,10 Hour Construction Industry,90
50133,167,30 Hour  General Industry,72
50133,168,30 Hour Construction Industry,79
50133,65,Hazardous Waste Operations and Emergency Response,88
50134,166,10 Hour General Industry,89
50134,83,OSHA Fall Protection Course,98
50134,84,OSHA Stairways and Ladders Course,93
50134,92,OSHA Machine Guarding for General Industry,77
50135,165,10 Hour Construction Industry,83.5
50135,166,10 Hour General Industry,96
50135,6,Occupational Safety and Health Standards for General Industry,93
50136,165,10 Hour Construction Industry,91
50136,166,10 Hour General Industry,82
50136,167,30 Hour  General Industry,88
50137,165,10 Hour Construction Industry,90
50138,165,10 Hour Construction Industry,82
50138,81,OSHA Scaffolds Course,83
50141,168,30 Hour Construction Industry,71
50143,165,10 Hour Construction Industry,82
50145,165,10 Hour Construction Industry,90.5
50145,166,10 Hour General Industry,98
50145,76,OSHA Rigging and Material Handling,73
50146,81,OSHA Scaffolds Course,95
50147,165,10 Hour Construction Industry,89
50147,166,10 Hour General Industry,87
50147,81,OSHA Scaffolds Course,74
50149,81,OSHA Scaffolds Course,70
50150,167,30 Hour  General Industry,81
50150,83,OSHA Fall Protection Course,75
50151,165,10 Hour Construction Industry,96
50152,83,OSHA Fall Protection Course,90
50156,168,30 Hour Construction Industry,72
50157,5,Occupational Safety and Health Standards for the Construction Industry,74
50160,168,30 Hour Construction Industry,99
50161,168,30 Hour Construction Industry,88
50161,66,Hazardous Waste Operations and Emergency Response,94
50163,94,OSHA Walking and Working Surfaces for General Industry,95
50164,167,30 Hour  General Industry,89
50165,165,10 Hour Construction Industry,75
50167,165,10 Hour Construction Industry,75
50169,168,30 Hour Construction Industry,82
50170,165,10 Hour Construction Industry,74
50170,166,10 Hour General Industry,88
50170,168,30 Hour Construction Industry,78
50171,165,10 Hour Construction Industry,77
50171,168,30 Hour Construction Industry,74
50172,165,10 Hour Construction Industry,75
50172,166,10 Hour General Industry,91
50174,165,10 Hour Construction Industry,78.5
50175,166,10 Hour General Industry,77
50177,165,10 Hour Construction Industry,83
50177,66,Hazardous Waste Operations and Emergency Response,72
50179,165,10 Hour Construction Industry,79
50180,165,10 Hour Construction Industry,78.66666667
50181,166,10 Hour General Industry,93
50181,168,30 Hour Construction Industry,80
50184,83,OSHA Fall Protection Course,76
50185,166,10 Hour General Industry,75
50187,166,10 Hour General Industry,87
50188,167,30 Hour  General Industry,72
50189,165,10 Hour Construction Industry,92
50190,165,10 Hour Construction Industry,93
50190,167,30 Hour  General Industry,71
50192,165,10 Hour Construction Industry,90
50192,83,OSHA Fall Protection Course,97
50195,168,30 Hour Construction Industry,80
50196,166,10 Hour General Industry,94
50198,165,10 Hour Construction Industry,90
50198,5,Occupational Safety and Health Standards for the Construction Industry,77
50199,165,10 Hour Construction Industry,93
50199,84,OSHA Stairways and Ladders Course,97
50199,93,OSHA Lockout and Tagout for General Industry,94
50200,5,Occupational Safety and Health Standards for the Construction Industry,81
50201,165,10 Hour Construction Industry,75
50201,166,10 Hour General Industry,78
50201,89,OSHA Confined Space Entry for General Industry,71
50203,165,10 Hour Construction Industry,84.5
50203,168,30 Hour Construction Industry,94
50204,168,30 Hour Construction Industry,86
50206,5,Occupational Safety and Health Standards for the Construction Industry,99
50207,165,10 Hour Construction Industry,87
50209,167,30 Hour  General Industry,96
50210,166,10 Hour General Industry,92
50211,165,10 Hour Construction Industry,77
50211,168,30 Hour Construction Industry,70
50211,83,OSHA Fall Protection Course,87
50212,166,10 Hour General Industry,82
50213,165,10 Hour Construction Industry,90
50214,66,Hazardous Waste Operations and Emergency Response,83
50214,88,OSHA Bloodborne Pathogens Course,79
50215,166,10 Hour General Industry,85
50216,81,OSHA Scaffolds Course,77
50217,165,10 Hour Construction Industry,97
50219,168,30 Hour Construction Industry,77
50220,165,10 Hour Construction Industry,75
50220,5,Occupational Safety and Health Standards for the Construction Industry,95
50220,66,Hazardous Waste Operations and Emergency Response,72
50222,165,10 Hour Construction Industry,91
50223,165,10 Hour Construction Industry,73.66666667
50223,166,10 Hour General Industry,76
50225,5,Occupational Safety and Health Standards for the Construction Industry,95
50226,165,10 Hour Construction Industry,88
50226,167,30 Hour  General Industry,87
50227,165,10 Hour Construction Industry,87
50227,66,Hazardous Waste Operations and Emergency Response,94
50230,165,10 Hour Construction Industry,95
50231,165,10 Hour Construction Industry,87
50231,168,30 Hour Construction Industry,84
50232,5,Occupational Safety and Health Standards for the Construction Industry,73
50232,65,Hazardous Waste Operations and Emergency Response,78
50234,165,10 Hour Construction Industry,80
50234,166,10 Hour General Industry,84
50235,66,Hazardous Waste Operations and Emergency Response,79
50237,167,30 Hour  General Industry,70
50238,165,10 Hour Construction Industry,83
50238,82,OSHA Personal Protective Equipment,77
50241,166,10 Hour General Industry,72
50241,168,30 Hour Construction Industry,92
50242,168,30 Hour Construction Industry,74
50242,68,Introduction to OSHA,98
50243,88,OSHA Bloodborne Pathogens Course,93
50244,165,10 Hour Construction Industry,81.5
50245,165,10 Hour Construction Industry,77
50245,168,30 Hour Construction Industry,85
50248,165,10 Hour Construction Industry,79
50248,5,Occupational Safety and Health Standards for the Construction Industry,70
50248,88,OSHA Bloodborne Pathogens Course,83
50249,65,Hazardous Waste Operations and Emergency Response,88
50250,165,10 Hour Construction Industry,88
50250,168,30 Hour Construction Industry,84
50250,5,Occupational Safety and Health Standards for the Construction Industry,87
50250,91,OSHA Safety and Health Programs for General Industry,77
50251,88,OSHA Bloodborne Pathogens Course,92
50253,165,10 Hour Construction Industry,71
50253,166,10 Hour General Industry,88
50254,165,10 Hour Construction Industry,80
50254,168,30 Hour Construction Industry,90
50255,165,10 Hour Construction Industry,93
50255,168,30 Hour Construction Industry,87
50257,6,Occupational Safety and Health Standards for General Industry,72
50258,168,30 Hour Construction Industry,86
50258,88,OSHA Bloodborne Pathogens Course,91
50260,165,10 Hour Construction Industry,87
50261,165,10 Hour Construction Industry,93
50262,168,30 Hour Construction Industry,84
50262,65,Hazardous Waste Operations and Emergency Response,79
50264,165,10 Hour Construction Industry,73
50264,78,OSHA Electrical for Construction,86
50265,165,10 Hour Construction Industry,70
50266,81,OSHA Scaffolds Course,82
50267,66,Hazardous Waste Operations and Emergency Response,78
50267,81,OSHA Scaffolds Course,76
50268,165,10 Hour Construction Industry,84
50269,166,10 Hour General Industry,88
50271,166,10 Hour General Industry,91
50271,80,OSHA Fire Prevention for Construction,88
50273,81,OSHA Scaffolds Course,75
50275,165,10 Hour Construction Industry,93
50277,79,OSHA Excavations for Construction,70
50278,6,Occupational Safety and Health Standards for General Industry,91
50279,168,30 Hour Construction Industry,86
50279,5,Occupational Safety and Health Standards for the Construction Industry,80
